epoch_iso,t_s,dist_m,pdop_present,pdop_los_total,pdop_los_gps,pdop_los_galileo
2026-05-09T10:00:00+00:00,0,0.0,1.2177859626148053,20.43809433871363,,
2026-05-09T10:00:01+00:00,1,8.333,1.217783267794687,6.817367675138748,8.107370542651905,
2026-05-09T10:00:02+00:00,2,16.667,1.2177805525302512,6.816919909057192,8.1076635311758,
2026-05-09T10:00:03+00:00,3,25.0,1.2177778188669275,14.263509118796534,,
2026-05-09T10:00:04+00:00,4,33.333,1.2177750648134285,17.360845693918485,,
2026-05-09T10:00:05+00:00,5,41.667,1.2177722894123688,11.527920853447958,,
2026-05-09T10:00:06+00:00,6,50.0,1.2177694928847498,62.99441461904416,,
2026-05-09T10:00:07+00:00,7,58.333,1.2177666762568649,17.3492604549033,,
2026-05-09T10:00:08+00:00,8,66.667,1.2177638404282751,6.66638310490191,,20.66484104197892
2026-05-09T10:00:09+00:00,9,75.0,1.217760984156768,2.713299201584138,4.5913659864671335,20.652854633119013
2026-05-09T10:00:10+00:00,10,83.333,1.2177581048401105,2.1319955101101185,2.5247648177523065,
2026-05-09T10:00:11+00:00,11,91.667,1.2177552198625379,2.440901006145986,2.7663111300688707,
2026-05-09T10:00:12+00:00,12,100.0,1.2177523206642298,4.725057332407716,12.874318939727003,
2026-05-09T10:00:13+00:00,13,108.333,1.2177494015624188,5.249877288780942,,
2026-05-09T10:00:14+00:00,14,116.667,1.2177464620178342,2.9988656980879687,4.312860385894285,
2026-05-09T10:00:15+00:00,15,125.0,1.217743501743384,10.663544090126381,,
2026-05-09T10:00:16+00:00,16,133.333,1.2177405212568913,8.671043902043415,,
2026-05-09T10:00:17+00:00,17,141.667,1.217737502710291,8.6045415428652,,20.55762951909444
2026-05-09T10:00:18+00:00,18,150.0,1.217734451180478,11.497214033118954,,
2026-05-09T10:00:19+00:00,19,158.333,1.217731377882822,6.598586670636474,8.112711487874359,20.534005754669828
2026-05-09T10:00:20+00:00,20,166.667,1.2177282803627045,3.5703902550167235,4.037076754677566,20.52222101996633
2026-05-09T10:00:21+00:00,21,175.0,1.2177251618679168,6.1965508780333085,,
2026-05-09T10:00:22+00:00,22,183.333,1.217722022266543,6.165059105454967,8.105404039837689,
2026-05-09T10:00:23+00:00,23,191.667,1.2177188622429445,3.8640165690739066,4.560213405779169,20.486975457230837
2026-05-09T10:00:24+00:00,24,200.0,1.2177156817978112,2.258343040222643,2.8499912999477757,20.475263050201313
2026-05-09T10:00:25+00:00,25,208.333,1.2177124809318545,5.659481935712948,,
2026-05-09T10:00:26+00:00,26,216.667,1.2177092596457915,3.8691284091020335,4.565210732631876,20.45189219129435
2026-05-09T10:00:27+00:00,27,225.0,1.217706017940359,5.135320961809646,8.117520744297282,
2026-05-09T10:00:28+00:00,28,233.333,1.217702755816298,2.8387875479448934,3.6953832871856322,20.428593020920232
2026-05-09T10:00:29+00:00,29,241.667,1.2176994741111984,3.1245817209987634,6.320504601804299,20.416970254508428
2026-05-09T10:00:30+00:00,30,250.0,1.2176961720635895,2.699254667840704,3.354980056380743,20.405365300268222
2026-05-09T10:00:31+00:00,31,258.333,1.2176928491218488,10.177476350028686,,
2026-05-09T10:00:32+00:00,32,266.667,1.2176895051190566,10.488703330328532,,
2026-05-09T10:00:33+00:00,33,275.0,1.2176861407016937,3.9401408093468957,,
2026-05-09T10:00:34+00:00,34,283.333,1.2176827558705883,38.91606354950595,,
2026-05-09T10:00:35+00:00,35,291.667,1.2176793506265784,,,
2026-05-09T10:00:36+00:00,36,300.0,1.2176759249705105,,,
2026-05-09T10:00:37+00:00,37,308.333,1.217672478903251,3.6364092124179153,4.635644353539608,
2026-05-09T10:00:38+00:00,38,316.667,1.217669012425675,3.488039660595537,5.001088138821082,
2026-05-09T10:00:39+00:00,39,325.0,1.2176655255386735,3.488567536677403,5.0024213457896325,
2026-05-09T10:00:40+00:00,40,333.333,1.2176620182431506,15.296625416144995,,
2026-05-09T10:00:41+00:00,41,341.667,1.2176584906438053,2.6568626685892327,3.362503493278844,
2026-05-09T10:00:42+00:00,42,350.0,1.2176549436523145,2.261484337182163,11.114033680685472,
2026-05-09T10:00:43+00:00,43,358.333,1.217651376254372,6.659684559709187,11.108458720402973,
2026-05-09T10:00:44+00:00,44,366.667,1.217647789350222,3.5400718704103173,3.955849221737909,
2026-05-09T10:00:45+00:00,45,375.0,1.2176441944033345,2.4929043777912234,3.205761303032493,20.233403041493
2026-05-09T10:00:46+00:00,46,383.333,1.2176405732620417,1.943386861795365,2.515710931372913,20.22207820330877
2026-05-09T10:00:47+00:00,47,391.667,1.2176368940529927,2.9818452626790255,4.925676641601081,
2026-05-09T10:00:48+00:00,48,400.0,1.2176332517013897,5.761600397112582,,
2026-05-09T10:00:49+00:00,49,408.333,1.2176295959640582,5.762659699278096,,
2026-05-09T10:00:50+00:00,50,416.667,1.2176259196475574,2.358340772908907,3.5235446944503135,20.176949776024458
2026-05-09T10:00:51+00:00,51,425.0,1.2176222224153093,2.26368234912543,2.8485699015151145,20.165710765652364
2026-05-09T10:00:52+00:00,52,433.333,1.2176185047387393,1.964660840436491,2.550906345168388,20.154488766910845
2026-05-09T10:00:53+00:00,53,441.667,1.2176147666188626,3.4793226684572276,4.220439693568667,
2026-05-09T10:00:54+00:00,54,450.0,1.2176110079925535,6.079285425730187,17.93523657762635,
2026-05-09T10:00:55+00:00,55,458.333,1.2176071805411968,8.093131117683447,,
2026-05-09T10:00:56+00:00,56,466.667,1.2176033327054387,2.489442290031107,3.197974964376196,20.109768403674597
2026-05-09T10:00:57+00:00,57,475.0,1.2175994644864083,6.573822131708834,8.124428570140692,20.09862998006467
2026-05-09T10:00:58+00:00,58,483.333,1.2175955758852643,3.3697669290037844,,20.087508360280047
2026-05-09T10:00:59+00:00,59,491.667,1.2175916658517127,3.617812797503958,4.077642836658391,20.076403468832748
2026-05-09T10:01:00+00:00,60,500.0,1.2175877324436628,6.780646634663722,,
2026-05-09T10:01:01+00:00,61,508.333,1.2175837780416858,5.027184337706471,12.56652723241397,
2026-05-09T10:01:02+00:00,62,516.667,1.2175797923035656,3.1202382637341284,4.904672229859414,
2026-05-09T10:01:03+00:00,63,525.0,1.217575785491602,5.03001354934351,12.567577216466388,
2026-05-09T10:01:04+00:00,64,533.333,1.217571758312184,6.63062894359409,,20.0211272568405
2026-05-09T10:01:05+00:00,65,541.667,1.217567710766565,5.291095498442266,15.408589296984589,
2026-05-09T10:01:06+00:00,66,550.0,1.2175636428560084,8.164524200704625,,
2026-05-09T10:01:07+00:00,67,558.333,1.217559554581785,8.164003956864097,,
2026-05-09T10:01:08+00:00,68,566.667,1.2175554459451854,11.677209359565238,,
2026-05-09T10:01:09+00:00,69,575.0,1.2175513169475134,,,
2026-05-09T10:01:10+00:00,70,583.333,1.2175471675900773,,,
2026-05-09T10:01:11+00:00,71,591.667,1.2175429978742134,,,
2026-05-09T10:01:12+00:00,72,600.0,1.2175388078012566,95.19792236860589,,
2026-05-09T10:01:13+00:00,73,608.333,1.2175345973725609,6.784917877438359,8.129543292933286,
2026-05-09T10:01:14+00:00,74,616.667,1.2175303665894954,2.9392671361184317,3.719696233350639,19.911810980243512
2026-05-09T10:01:15+00:00,75,625.0,1.2175261153569217,10.45821244031929,,19.900969163662857
2026-05-09T10:01:16+00:00,76,633.333,1.2175218437191828,4.493256786240218,8.408588073948907,19.890143542164427
2026-05-09T10:01:17+00:00,77,641.667,1.2175175517313137,2.2377708546165085,4.654179878991859,3.7306309338778134
2026-05-09T10:01:18+00:00,78,650.0,1.217513239394734,8.070313866247362,8.420366253123692,
2026-05-09T10:01:19+00:00,79,658.333,1.2175089067108753,5.217555698948136,12.575550934089675,
2026-05-09T10:01:20+00:00,80,666.667,1.2175045551605463,6.589871209299783,12.576024153976899,
