epoch_iso,t_s,dist_m,lon,lat,visible_total,los_total,nlos_obstacles,vegetation_degraded,gnss_denied_tunnel_or_covered,pdop_present,pdop_los_total,pdop_los_gps,pdop_los_galileo,svi_total,svi_gps,svi_galileo
2026-05-09T10:00:00+00:00,0,0.0,11.32689,44.48748,14,4,10,0,0,1.2177859626148053,20.43809433871363,,,0.2857142857142857,0.125,0.5
2026-05-09T10:00:01+00:00,1,8.333,11.326944289084167,44.487544159912424,14,7,7,0,0,1.217783267794687,6.817367675138748,8.107370542651905,,0.5,0.5,0.5
2026-05-09T10:00:02+00:00,2,16.667,11.326998578287885,44.487608319799115,14,7,7,0,0,1.2177805525302512,6.816919909057192,8.1076635311758,,0.5,0.5,0.5
2026-05-09T10:00:03+00:00,3,25.0,11.327056696934278,44.48767074682882,14,5,9,0,0,1.2177778188669275,14.263509118796534,,,0.35714285714285715,0.375,0.3333333333333333
2026-05-09T10:00:04+00:00,4,33.333,11.32711491868315,44.48773312722977,14,5,9,0,0,1.2177750648134285,17.360845693918485,,,0.35714285714285715,0.25,0.5
2026-05-09T10:00:05+00:00,5,41.667,11.327171445717568,44.487796283604524,14,6,8,0,0,1.2177722894123688,11.527920853447958,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:06+00:00,6,50.0,11.327226690190287,44.48786002724473,14,4,10,0,0,1.2177694928847498,62.99441461904416,,,0.2857142857142857,0.375,0.16666666666666666
2026-05-09T10:00:07+00:00,7,58.333,11.327282577926894,44.48792347638874,14,5,8,1,0,1.2177666762568649,17.3492604549033,,,0.35714285714285715,0.25,0.5
2026-05-09T10:00:08+00:00,8,66.667,11.32734079967338,44.48798585691065,14,7,6,1,0,1.2177638404282751,6.66638310490191,,20.66484104197892,0.5,0.375,0.6666666666666666
2026-05-09T10:00:09+00:00,9,75.0,11.327399021544352,44.48804823740297,14,9,4,1,0,1.217760984156768,2.713299201584138,4.5913659864671335,20.652854633119013,0.6428571428571429,0.625,0.6666666666666666
2026-05-09T10:00:10+00:00,10,83.333,11.327452461816392,44.488112461821125,14,10,4,0,0,1.2177581048401105,2.1319955101101185,2.5247648177523065,,0.7142857142857143,0.875,0.5
2026-05-09T10:00:11+00:00,11,91.667,11.32753654319879,44.48815413580181,14,9,5,0,0,1.2177552198625379,2.440901006145986,2.7663111300688707,,0.6428571428571429,0.75,0.5
2026-05-09T10:00:12+00:00,12,100.0,11.327635683592234,44.48817892089889,14,7,7,0,0,1.2177523206642298,4.725057332407716,12.874318939727003,,0.5,0.5,0.5
2026-05-09T10:00:13+00:00,13,108.333,11.327738521979086,44.48819407462019,14,6,8,0,0,1.2177494015624188,5.249877288780942,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:14+00:00,14,116.667,11.32784152874899,44.48820878982933,14,8,6,0,0,1.2177464620178342,2.9988656980879687,4.312860385894285,,0.5714285714285714,0.625,0.5
2026-05-09T10:00:15+00:00,15,125.0,11.327945053494773,44.4882202346184,14,5,6,3,0,1.217743501743384,10.663544090126381,,,0.35714285714285715,0.375,0.3333333333333333
2026-05-09T10:00:16+00:00,16,133.333,11.328048237167536,44.48823430510314,14,6,6,2,0,1.2177405212568913,8.671043902043415,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:17+00:00,17,141.667,11.328113040080325,44.48828147218179,14,7,6,1,0,1.217737502710291,8.6045415428652,,20.55762951909444,0.5,0.375,0.6666666666666666
2026-05-09T10:00:18+00:00,18,150.0,11.328150710605087,44.48835142124078,14,6,7,1,0,1.217734451180478,11.497214033118954,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:19+00:00,19,158.333,11.328186004255826,44.48842200852504,14,8,5,1,0,1.217731377882822,6.598586670636474,8.112711487874359,20.534005754669828,0.5714285714285714,0.5,0.6666666666666666
2026-05-09T10:00:20+00:00,20,166.667,11.328214649965616,44.488494089985856,14,9,4,1,0,1.2177282803627045,3.5703902550167235,4.037076754677566,20.52222101996633,0.6428571428571429,0.625,0.6666666666666666
2026-05-09T10:00:21+00:00,21,175.0,11.328242332605555,44.48856638403136,14,5,6,3,0,1.2177251618679168,6.1965508780333085,,,0.35714285714285715,0.375,0.3333333333333333
2026-05-09T10:00:22+00:00,22,183.333,11.32826883017026,44.4886389042409,14,6,6,2,0,1.217722022266543,6.165059105454967,8.105404039837689,,0.42857142857142855,0.5,0.3333333333333333
2026-05-09T10:00:23+00:00,23,191.667,11.328295327800902,44.48871142444432,14,8,4,2,0,1.2177188622429445,3.8640165690739066,4.560213405779169,20.486975457230837,0.5714285714285714,0.5,0.6666666666666666
2026-05-09T10:00:24+00:00,24,200.0,11.328321825497255,44.488783944641604,14,9,5,0,0,1.2177156817978112,2.258343040222643,2.8499912999477757,20.475263050201313,0.6428571428571429,0.625,0.6666666666666666
2026-05-09T10:00:25+00:00,25,208.333,11.328348323259661,44.488856464832786,14,6,7,1,0,1.2177124809318545,5.659481935712948,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:26+00:00,26,216.667,11.328374821087891,44.48892898501782,14,8,4,2,0,1.2177092596457915,3.8691284091020335,4.565210732631876,20.45189219129435,0.5714285714285714,0.5,0.6666666666666666
2026-05-09T10:00:27+00:00,27,225.0,11.32840131898206,44.48900150519673,14,7,5,2,0,1.217706017940359,5.135320961809646,8.117520744297282,,0.5,0.5,0.5
2026-05-09T10:00:28+00:00,28,233.333,11.328427816942053,44.48907402536951,14,8,4,2,0,1.217702755816298,2.8387875479448934,3.6953832871856322,20.428593020920232,0.5714285714285714,0.5,0.6666666666666666
2026-05-09T10:00:29+00:00,29,241.667,11.32845577015894,44.48914626625708,14,8,4,2,0,1.2176994741111984,3.1245817209987634,6.320504601804299,20.416970254508428,0.5714285714285714,0.5,0.6666666666666666
2026-05-09T10:00:30+00:00,30,250.0,11.32848385409602,44.48921848206342,14,9,4,1,0,1.2176961720635895,2.699254667840704,3.354980056380743,20.405365300268222,0.6428571428571429,0.625,0.6666666666666666
2026-05-09T10:00:31+00:00,31,258.333,11.32851110802767,44.489290856025434,14,6,6,2,0,1.2176928491218488,10.177476350028686,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:32+00:00,32,266.667,11.328537239374441,44.48936344389129,14,6,5,3,0,1.2176895051190566,10.488703330328532,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:33+00:00,33,275.0,11.328563370786242,44.48943603175119,14,6,6,2,0,1.2176861407016937,3.9401408093468957,,,0.42857142857142855,0.375,0.5
2026-05-09T10:00:34+00:00,34,283.333,11.328589502263071,44.489508619605125,14,4,6,4,0,1.2176827558705883,38.91606354950595,,,0.2857142857142857,0.25,0.3333333333333333
2026-05-09T10:00:35+00:00,35,291.667,11.32861563380493,44.489581207453114,14,2,7,5,0,1.2176793506265784,,,,0.14285714285714285,0.25,0.0
2026-05-09T10:00:36+00:00,36,300.0,11.32864176541193,44.48965379529513,14,3,7,4,0,1.2176759249705105,,,,0.21428571428571427,0.25,0.16666666666666666
2026-05-09T10:00:37+00:00,37,308.333,11.328667897083847,44.4897263831312,14,6,5,3,0,1.217672478903251,3.6364092124179153,4.635644353539608,,0.42857142857142855,0.5,0.3333333333333333
