start_time_utc,end_time_utc,mode,score,avg_los,avg_svi,avg_pdop,outage_pct,score_outage_pct,tunnel_pct,los_score,pdop_score,continuity_score,rank
21:15:00,21:24:05,refined,97.11863655568953,13.435897435897436,0.6398046398046396,2.364254499361784,5.128205128205129,3.896103896103896,1.2820512820512822,1.0,0.939290916773036,0.961038961038961,1
21:00:00,21:09:05,refined,96.86426157750145,12.782051282051283,0.63985765696292,2.534395403217833,3.8461538461538463,2.5974025974025974,1.2820512820512822,1.0,0.9109340994636946,0.974025974025974,2
12:30:00,12:39:05,refined,96.2687692216315,11.192307692307692,0.5845479082321188,2.5682226595357114,5.128205128205129,3.896103896103896,1.2820512820512822,1.0,0.9052962234107147,0.961038961038961,3
16:45:00,16:54:05,refined,96.16373471671393,10.615384615384615,0.6634615384615384,2.5934309407159275,5.128205128205129,3.896103896103896,1.2820512820512822,1.0,0.901094843214012,0.961038961038961,4
14:15:00,14:24:05,refined,95.92142318973937,12.243589743589743,0.6443994601889338,2.6515857071898226,5.128205128205129,3.896103896103896,1.2820512820512822,1.0,0.8914023821350296,0.961038961038961,5
22:00:00,22:09:05,refined,95.41118528748507,12.628205128205128,0.6266483516483514,2.6649518946399464,6.410256410256411,5.194805194805195,1.2820512820512822,1.0,0.8891746842266756,0.948051948051948,6
20:45:00,20:54:05,refined,95.22876849882513,12.179487179487179,0.6259784075573548,2.817822833009244,5.128205128205129,3.896103896103896,1.2820512820512822,1.0,0.8636961944984595,0.961038961038961,7
21:45:00,21:54:05,refined,95.11907129146442,12.384615384615385,0.651821862348178,2.9532410718667195,3.8461538461538463,2.5974025974025974,1.2820512820512822,1.0,0.8411264880222135,0.974025974025974,8
12:15:00,12:24:05,refined,95.07275080202973,10.923076923076923,0.5743927125506072,2.527994352967413,8.974358974358974,7.792207792207792,1.2820512820512822,1.0,0.9120009411720978,0.922077922077922,9
18:15:00,18:24:05,refined,93.31733776648625,10.102564102564102,0.6921151498074574,2.949293481497845,8.974358974358974,7.792207792207792,1.2820512820512822,1.0,0.8417844197503591,0.922077922077922,10
12:45:00,12:54:05,refined,92.70889333631675,11.35897435897436,0.5748388064177538,3.3135019629203444,6.410256410256411,5.194805194805195,1.2820512820512822,1.0,0.7810830061799425,0.948051948051948,11
21:30:00,21:39:05,refined,92.10241462203768,12.884615384615385,0.636965811965812,3.4590568543473186,6.410256410256411,5.194805194805195,1.2820512820512822,1.0,0.7568238576087802,0.948051948051948,12
10:45:00,10:54:05,refined,91.60071298369199,9.987179487179487,0.6658119658119659,3.470374338459377,7.6923076923076925,6.4935064935064934,1.2820512820512822,1.0,0.7549376102567704,0.935064935064935,13
18:00:00,18:09:05,refined,91.22280052321663,9.705128205128204,0.6532967032967033,2.9626317705319045,12.820512820512821,11.688311688311689,1.2820512820512822,0.9831168831168832,0.8395613715780158,0.8831168831168831,14
17:45:00,17:54:05,refined,89.6968226899284,9.474358974358974,0.6721001221001222,3.2135417751964064,11.538461538461538,10.38961038961039,1.2820512820512822,0.9597402597402598,0.7977430374672657,0.8961038961038961,15
14:00:00,14:09:05,refined,88.5289085401632,12.243589743589743,0.6443994601889338,3.9894255867244683,10.256410256410257,9.090909090909092,1.2820512820512822,1.0,0.6684290688792552,0.9090909090909091,16
09:45:00,09:54:05,refined,88.16830401688932,9.217948717948717,0.6740396355780971,3.331035607375135,11.538461538461538,10.38961038961039,1.2820512820512822,0.9337662337662337,0.7781607321041442,0.8961038961038961,17
06:15:00,06:24:05,refined,87.18169065652837,10.320512820512821,0.6070889894419305,4.094576060615009,12.820512820512821,11.688311688311689,1.2820512820512822,1.0,0.6509039898974985,0.8831168831168831,18
07:45:00,07:54:05,refined,87.13581532817614,9.538461538461538,0.6813186813186815,3.7814302952637027,12.820512820512821,11.688311688311689,1.2820512820512822,0.9662337662337663,0.7030949507893829,0.8831168831168831,19
13:15:00,13:24:05,refined,86.64665240210331,11.307692307692308,0.6295458354281883,4.33207615076793,11.538461538461538,10.38961038961039,1.2820512820512822,1.0,0.6113206415386783,0.8961038961038961,20
07:15:00,07:24:05,refined,85.12883901038897,9.41025641025641,0.679134967596506,4.029338377766386,14.102564102564102,12.987012987012987,1.2820512820512822,0.9532467532467532,0.6617769370389356,0.8701298701298701,21
07:30:00,07:39:05,refined,85.12160903638349,9.23076923076923,0.7100591715976332,3.747437207891342,15.384615384615385,14.285714285714286,1.2820512820512822,0.935064935064935,0.708760465351443,0.8571428571428571,22
10:30:00,10:39:05,refined,83.47259157782008,9.756410256410257,0.696886446886447,4.7634611382062975,14.102564102564102,12.987012987012987,1.2820512820512822,0.9883116883116884,0.5394231436322837,0.8701298701298701,23
10:00:00,10:09:05,refined,81.5527920991271,9.08974358974359,0.6658918005071851,4.357719506599106,16.666666666666668,15.584415584415584,1.2820512820512822,0.9207792207792208,0.607046748900149,0.8441558441558441,24
06:30:00,06:39:05,refined,79.11651493339681,9.961538461538462,0.6341880341880343,5.921127325075672,14.102564102564102,12.987012987012987,1.2820512820512822,1.0,0.3464787791540546,0.8701298701298701,25
13:30:00,13:39:05,refined,78.06081973227688,11.166666666666666,0.6568627450980392,6.065403264253547,15.384615384615385,14.285714285714286,1.2820512820512822,1.0,0.3224327892910755,0.8571428571428571,26
06:45:00,06:54:05,refined,77.81591029144914,10.102564102564102,0.6638888888888888,6.451454257324933,11.538461538461538,10.38961038961039,1.2820512820512822,1.0,0.2580909571125112,0.8961038961038961,27
10:15:00,10:24:05,refined,76.58154427698098,9.205128205128204,0.6959706959706959,5.11757223066742,23.076923076923077,22.07792207792208,1.2820512820512822,0.9324675324675324,0.4804046282220966,0.7792207792207793,28
16:30:00,16:39:05,refined,73.63636363636363,10.384615384615385,0.6578525641025641,12.422736355275653,5.128205128205129,3.896103896103896,1.2820512820512822,1.0,0.0,0.961038961038961,29
13:45:00,13:54:05,refined,72.72727272727273,12.153846153846153,0.6396761133603238,12.934960734406873,7.6923076923076925,6.4935064935064934,1.2820512820512822,1.0,0.0,0.935064935064935,30
16:15:00,16:24:05,refined,70.45454545454545,9.923076923076923,0.6919507842584764,11.482178818325247,14.102564102564102,12.987012987012987,1.2820512820512822,1.0,0.0,0.8701298701298701,31
