window_kind,window_start_time_utc,window_score,epoch_iso,t_s,dist_m,lon,lat,visible_total,los_total,nlos_obstacles,vegetation_degraded,gnss_denied_tunnel_or_covered,pdop_present,pdop_los_total,pdop_los_gps,pdop_los_galileo,svi_total,svi_gps,svi_galileo
best,21:15:00,97.11863655568953,2026-05-09T21:15:00+00:00,0,0.0,11.32689,44.48748,21,6,15,0,0,1.072261103792877,5.1218281633660485,,,0.2857142857142857,0.3,0.2727272727272727
best,21:15:00,97.11863655568953,2026-05-09T21:15:07+00:00,7,58.333,11.327282577926894,44.48792347638874,21,8,13,0,0,1.0723970958273075,3.6241502459750334,3.949490177293577,,0.38095238095238093,0.5,0.2727272727272727
best,21:15:00,97.11863655568953,2026-05-09T21:15:14+00:00,14,116.667,11.32784152874899,44.48820878982933,21,10,10,1,0,1.072530939718602,2.5538581118444306,9.56088884290445,5.091635620596934,0.47619047619047616,0.5,0.45454545454545453
best,21:15:00,97.11863655568953,2026-05-09T21:15:21+00:00,21,175.0,11.328242332605555,44.48856638403136,21,9,11,1,0,1.0726624489017602,1.9365207366175092,4.276755411418625,9.669508904791014,0.42857142857142855,0.5,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:15:28+00:00,28,233.333,11.328427816942053,44.48907402536951,21,10,7,4,0,1.0727915668884396,1.7898180434704265,3.063364887187935,5.396979778263177,0.47619047619047616,0.6,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:15:35+00:00,35,291.667,11.32861563380493,44.489581207453114,21,6,12,3,0,1.0729184108824477,3.8221782329797214,,,0.2857142857142857,0.3,0.2727272727272727
best,21:15:00,97.11863655568953,2026-05-09T21:15:42+00:00,42,350.0,11.328800689424725,44.49008891580568,21,8,12,1,0,1.073042976070054,3.379958439043408,16.815958059243826,10.109390819621757,0.38095238095238093,0.4,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:15:49+00:00,49,408.333,11.329128333307835,44.490447083403446,21,11,9,1,0,1.0731653675543358,1.9706077499723922,2.1726565779666256,7.226536483696608,0.5238095238095238,0.7,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:15:56+00:00,56,466.667,11.329654718044026,44.49061097784474,21,5,13,3,0,1.0732856171016636,18.466886715094397,,,0.23809523809523808,0.3,0.18181818181818182
best,21:15:00,97.11863655568953,2026-05-09T21:16:03+00:00,63,525.0,11.329603322723074,44.49113149256127,21,8,13,0,0,1.073403280731644,2.3072587617087468,3.1960014662604435,,0.38095238095238093,0.5,0.2727272727272727
best,21:15:00,97.11863655568953,2026-05-09T21:16:10+00:00,70,583.333,11.329434860185415,44.49164214621558,21,5,13,3,0,1.073518638694182,5.629623563947653,,,0.23809523809523808,0.3,0.18181818181818182
best,21:15:00,97.11863655568953,2026-05-09T21:16:17+00:00,77,641.667,11.329265768852224,44.49215269401178,21,8,8,5,0,1.0736317029099716,4.177903639883886,4.2216766347117165,,0.38095238095238093,0.6,0.18181818181818182
best,21:15:00,97.11863655568953,2026-05-09T21:16:24+00:00,84,700.0,11.329110381285318,44.492665395755246,21,13,6,2,0,1.0737424716833484,1.94299000462277,2.489400199110358,3.486567360626515,0.6190476190476191,0.6,0.6363636363636364
best,21:15:00,97.11863655568953,2026-05-09T21:16:31+00:00,91,758.333,11.328941351325511,44.493175946057484,21,11,9,1,0,1.0738509398065106,2.6861053839260856,4.531248447145171,7.244625271355439,0.5238095238095238,0.6,0.45454545454545453
best,21:15:00,97.11863655568953,2026-05-09T21:16:38+00:00,98,816.667,11.3287864080703,44.493688773456554,21,11,9,1,0,1.0739571068494564,3.1262158541560305,4.5293546123908985,6.972281223254997,0.5238095238095238,0.6,0.45454545454545453
best,21:15:00,97.11863655568953,2026-05-09T21:16:45+00:00,105,875.0,11.328628332587073,44.49420111515704,21,10,10,1,0,1.0740609686645854,1.7713497350624385,7.880835629036661,2.6326983726345397,0.47619047619047616,0.5,0.45454545454545453
best,21:15:00,97.11863655568953,2026-05-09T21:16:52+00:00,112,933.333,11.328463481991434,44.494712347543334,21,13,8,0,0,1.0741625223525195,1.7618224327043197,2.955783685024247,5.048570077916962,0.6190476190476191,0.7,0.5454545454545454
best,21:15:00,97.11863655568953,2026-05-09T21:16:59+00:00,119,991.667,11.32830975284287,44.49522535653433,21,7,12,2,0,1.0742617668462913,6.041956399530264,6.169641121244736,,0.3333333333333333,0.6,0.09090909090909091
best,21:15:00,97.11863655568953,2026-05-09T21:17:06+00:00,126,1050.0,11.328149815400593,44.495737377186124,21,9,10,2,0,1.0743586982307016,2.505291184814193,4.192736476953315,5.917454393771287,0.42857142857142855,0.5,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:17:13+00:00,133,1108.333,11.32797477249244,44.49624690132063,21,10,11,0,0,1.074453313436303,2.0726590936509925,2.414331826708711,28.45800538431466,0.47619047619047616,0.6,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:17:20+00:00,140,1166.667,11.32780883880821,44.49675797855403,21,9,12,0,0,1.0745456120495172,3.5185514556711714,5.281455547185732,12.866147179440945,0.42857142857142855,0.5,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:17:27+00:00,147,1225.0,11.32764229572524,44.497268832739266,21,9,10,2,0,1.074635591156609,1.9698127042037081,3.5513662562489063,4.946400015147498,0.42857142857142855,0.5,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:17:34+00:00,154,1283.333,11.327461834235578,44.497777167425866,21,12,7,2,0,1.0747232476120923,1.7241032741241393,4.318336272996252,3.314967958149599,0.5714285714285714,0.6,0.5454545454545454
best,21:15:00,97.11863655568953,2026-05-09T21:17:41+00:00,161,1341.667,11.327298370243057,44.49828865012936,21,9,9,3,0,1.0748085814432273,3.1158838413360987,7.951342481810775,7.399997235196186,0.42857142857142855,0.4,0.45454545454545453
best,21:15:00,97.11863655568953,2026-05-09T21:17:48+00:00,168,1400.0,11.327147864789367,44.49880211592365,21,11,5,5,0,1.0748915905985907,1.8231932590591482,2.5312135413307812,7.273382052553157,0.5238095238095238,0.7,0.36363636363636365
best,21:15:00,97.11863655568953,2026-05-09T21:17:55+00:00,175,1458.333,11.326941278450022,44.499301030832385,21,15,4,2,0,1.0749722707201557,1.491662640573114,2.834856534223944,2.381111696738765,0.7142857142857143,0.7,0.7272727272727273
best,21:15:00,97.11863655568953,2026-05-09T21:18:02+00:00,182,1516.667,11.326663438956757,44.499676369089215,21,11,9,1,0,1.0750506796488937,2.964393070540259,4.365111324285774,6.126737413323682,0.5238095238095238,0.6,0.45454545454545453
best,21:15:00,97.11863655568953,2026-05-09T21:18:09+00:00,189,1575.0,11.326950045107083,44.500159505118084,21,6,15,0,0,1.0751267925323782,5.732149059088816,6.108362520167153,,0.2857142857142857,0.4,0.18181818181818182
